,classes,config_format
0,ARDRegression,json
1,AdaBoostClassifier,json
2,AdaBoostRegressor,json
3,AdditiveChi2Sampler,json
4,AffinityPropagation,json
5,AgglomerativeClustering,json
6,BaggingClassifier,json
7,BaggingRegressor,json
8,BayesianGaussianMixture,json
9,BayesianRidge,json
10,BernoulliNB,json
11,BernoulliRBM,json
12,Binarizer,json
13,Birch,json
14,CCA,json
15,CalibratedClassifierCV,json
16,CheckingClassifier,json
17,ClassifierChain,json
18,ColumnTransformer,json
19,ComplementNB,json
21,DBSCAN,json
22,DecisionTreeClassifier,json
23,DecisionTreeRegressor,json
25,DictionaryLearning,json
26,DummyClassifier,json
27,DummyRegressor,json
28,ElasticNet,json
29,ElasticNetCV,json
30,EllipticEnvelope,json
31,EmpiricalCovariance,json
32,ExtraTreeClassifier,json
33,ExtraTreeRegressor,json
34,ExtraTreesClassifier,json
35,ExtraTreesRegressor,json
36,FactorAnalysis,json
37,FastICA,json
40,FeatureUnion,json
41,FunctionTransformer,json
42,GaussianMixture,json
43,GaussianNB,json
44,GaussianProcessClassifier,json
45,GaussianProcessRegressor,json
46,GaussianRandomProjection,json
48,GradientBoostingClassifier,json
49,GradientBoostingRegressor,json
50,GraphLasso,json
51,GraphLassoCV,json
52,GraphicalLasso,json
53,GraphicalLassoCV,json
54,GridSearchCV,json
56,HistGradientBoostingClassifier,json
57,HistGradientBoostingRegressor,json
58,HuberRegressor,json
59,Imputer,json
60,IncrementalPCA,json
61,IsolationForest,json
62,Isomap,json
63,IsotonicRegression,json
64,IterativeImputer,json
65,KBinsDiscretizer,json
66,KMeans,json
67,KNeighborsClassifier,json
68,KNeighborsRegressor,json
69,KernelCenterer,json
70,KernelDensity,json
71,KernelPCA,json
72,KernelRidge,json
73,LabelBinarizer,json
74,LabelEncoder,json
75,LabelPropagation,json
76,LabelSpreading,json
77,Lars,json
78,LarsCV,json
79,Lasso,json
80,LassoCV,json
81,LassoLars,json
82,LassoLarsCV,json
83,LassoLarsIC,json
84,LatentDirichletAllocation,json
85,LedoitWolf,json
86,LinearDiscriminantAnalysis,json
87,LinearRegression,json
88,LinearSVC,json
89,LinearSVR,json
90,LocalOutlierFactor,json
91,LocallyLinearEmbedding,json
92,LogisticRegression,json
93,LogisticRegressionCV,json
94,MDS,json
95,MLPClassifier,json
96,MLPRegressor,json
97,MaxAbsScaler,json
98,MeanShift,json
99,MinCovDet,json
100,MinMaxScaler,json
101,MiniBatchDictionaryLearning,json
102,MiniBatchKMeans,json
103,MiniBatchSparsePCA,json
104,MissingIndicator,json
105,MultiLabelBinarizer,json
106,MultiOutputClassifier,json
107,MultiOutputRegressor,json
108,MultiTaskElasticNet,json
109,MultiTaskElasticNetCV,json
110,MultiTaskLasso,json
111,MultiTaskLassoCV,json
112,MultinomialNB,json
113,NMF,json
114,NearestCentroid,json
115,NearestNeighbors,json
116,NeighborhoodComponentsAnalysis,json
117,Normalizer,json
118,NuSVC,json
119,NuSVR,json
120,Nystroem,json
121,OAS,json
122,OPTICS,json
123,OneClassSVM,json
125,OneVsOneClassifier,json
126,OneVsRestClassifier,json
128,OrthogonalMatchingPursuit,json
129,OrthogonalMatchingPursuitCV,json
130,OutputCodeClassifier,json
131,PCA,json
132,PLSCanonical,json
133,PLSRegression,json
134,PLSSVD,json
135,PassiveAggressiveClassifier,json
136,PassiveAggressiveRegressor,json
137,PatchExtractor,json
138,Perceptron,json
139,Pipeline,json
140,PolynomialFeatures,json
141,PowerTransformer,json
142,QuadraticDiscriminantAnalysis,json
143,QuantileTransformer,json
144,RANSACRegressor,json
145,RBFSampler,json
146,RFE,json
147,RFECV,json
148,RadiusNeighborsClassifier,json
149,RadiusNeighborsRegressor,json
150,RandomForestClassifier,json
151,RandomForestRegressor,json
152,RandomTreesEmbedding,json
153,RandomizedSearchCV,json
154,RegressorChain,json
155,Ridge,json
156,RidgeCV,json
157,RidgeClassifier,json
158,RidgeClassifierCV,json
159,RobustScaler,json
160,SGDClassifier,json
161,SGDRegressor,json
162,SVC,json
163,SVR,json
166,SelectFromModel,json
170,ShrunkCovariance,json
171,SimpleImputer,json
172,SkewedChi2Sampler,json
173,SparseCoder,json
174,SparsePCA,json
175,SparseRandomProjection,json
176,SpectralBiclustering,json
177,SpectralClustering,json
178,SpectralCoclustering,json
179,SpectralEmbedding,json
180,StandardScaler,json
181,TSNE,json
182,TfidfTransformer,json
184,TheilSenRegressor,json
185,TransformedTargetRegressor,json
186,TruncatedSVD,json
187,VarianceThreshold,json
188,VotingClassifier,json
189,VotingRegressor,json
190,_BaseRidgeCV,json
191,_BinMapper,json
192,_BinaryGaussianProcessClassifierLaplace,json
193,_ConstantPredictor,json
194,_RidgeGCV,json
195,_SigmoidCalibration,json
20,CountVectorizer,pickle
24,DictVectorizer,pickle
38,FeatureAgglomeration,pickle
39,FeatureHasher,pickle
47,GenericUnivariateSelect,pickle
55,HashingVectorizer,pickle
124,OneHotEncoder,pickle
127,OrdinalEncoder,pickle
164,SelectFdr,pickle
165,SelectFpr,pickle
167,SelectFwe,pickle
168,SelectKBest,pickle
169,SelectPercentile,pickle
183,TfidfVectorizer,pickle
