start,end,speaker
0.06,1.05,speaker_2
2.86,4.09,speaker_2
5.98,6.970000000000001,speaker_2
8.94,10.41,speaker_0
10.86,19.485,speaker_0
19.485,19.689999999999998,speaker_2
19.9,63.21,speaker_0
63.5,67.13,speaker_1
67.66,73.285,speaker_0
73.285,75.535,speaker_1
75.535,75.785,speaker_0
75.785,76.035,speaker_2
76.035,76.285,speaker_1
76.285,81.28999999999999,speaker_0
81.58,103.85,speaker_0
104.54,112.25,speaker_1
112.54,127.915,speaker_0
127.915,129.41500000000002,speaker_1
129.415,136.415,speaker_0
136.415,137.165,speaker_1
137.165,146.91,speaker_0
